EVTXT,EVSUBSTR
- ,/
/ ,/
  , 
Abnormally,Extreme
Abnormal,Extreme
Avalance,Avalanche
Beach,Coastal
Bitter,Extreme
Coastalflood,Coastal Flood
Coastalstorm,Coastal Flood
Cool,Cold
Cstl,Coastal
Dust Devel,Dust Devil
Erosin,Erosion
Excessive,Extreme
Extremely,Extreme
Extended,Extreme
Fldg,Flooding
Fld,Flood
Floooding,Flooding
Hvy,Heavy
Hyperthermia,Hypothermia
Icestorm,Ice Storm
Lighting,Lightning
Ligntning,Lightning
Micoburst,Microburst
Mudslide,Mud Slide
Precipatation,Precipitation
Record,Extreme
Severe,Extreme
Sml,Small
Strm,Stream
Thundeerstorm,Thunderstorm
Thunderstrom,Thunderstorm
Thundertorm,Thunderstorm
Thundertsorm,Thunderstorm
Thundestorm,Thunderstorm
Thunerstorm,Thunderstorm
Thuderstorm,Thunderstorm
Thunderestorm,Thunderstorm
Torndao,Tornado
Torrential,Heavy
Tstmw,Thunderstorm Wind
Tstm,Thunderstorm
Unseasonable,Extreme
Unseasonal,Extreme
Unusual,Extreme
Unusually,Extreme
Very,Extreme
Water Spout,Waterspout
Wayterspout,Waterspout
Wet,Rain
Windchill,Wind Chill
Wintery,Winter
Wintry,Winter
Wnd,Wind